RECID,CRF_NAME,SECTION_NAME,OBSERVATION_CODE,ARRAY_INDEX,ACTUAL_KEY
167,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[1].value
167,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,SUMDIAM,0,calculations.sum
167,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,PCNSD,0,calculations.percentageChangeFromNadir
167,PRIMARY_IRECIST,TIMEPOINT_COMMENTS,TIMEPOINT_COMMENTS,0,generalComments
167,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SLICE_NO,0,measuredNonNodalLesions[0].overlay.sliceNumber
167,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[2].question
167,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_COMMENTS,0,measuredNonNodalLesions[0].comments
167,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TRGRESP,0,overallMeasuredLesionAssessment.value
167,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,REASON_NOT_MEASURED,0,measuredNonNodalLesions[0].reasonNoOverlay
167,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,SUMNLNLD,0,calculations.sumNonNodalDiameters
167,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TARGET_ASSESSMENT_COMMENTS,0,overallMeasuredLesionAssessment.comments
167,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_FLAG,0,imageQualityAssessments.imageQualityAssessmentList[0].hasIssues
167,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,ACNSD,0,calculations.actualChangeFromNadir
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SERIES,0,measuredNonNodalLesions[0].overlay.imageTitle
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].question
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[5].question
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,REASON_NOT_EVALUABLE_COMMENT,0,measuredNonNodalLesions[0].unknownComments
178,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_COMMENTS,0,overallAssessment.unknownComments
178,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,NADIR_TIMEPOINT,0,calculations.timepointUsedForNadir
178,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS_SOFT_EDIT_CHECKS,OVL_OVERRIDE_COMMENTS,0,overallAssessmentSoftEditCheckOverride.comments
178,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_PD_COMMENTS,0,overallAssessment.pdComments
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LDIAM,0,measuredNonNodalLesions[0].overlay.length
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_ID,0,measuredNonNodalLesions[0].name
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[5].value
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_LOCATION_DESCRIPTION,0,measuredNonNodalLesions[0].locationDescription
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,CORRESPONDING_IMAGE_RECID,0,measuredNonNodalLesions[0].imageRecId
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,CORRESPONDING_IMAGE_SERIES,0,measuredNonNodalLesions[0].imageName
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_RECID,0,measuredNonNodalLesions[0].overlay.imageRecID
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[2].value
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].question
178,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,MEASUREMENT_UNITS,0,measuredNonNodalLesions[0].overlay.units
178,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TARGET_NE_COMMENTS,0,overallMeasuredLesionAssessment.unknownComments
178,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVRLRESP,0,overallAssessment.value
178,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[3].value
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].question
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[5].question
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].value
2070,PRIMARY_IRECIST,FDG_PET,PET_ASSESSMENT_COMMENTS,0,petAssessment.comments
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[1].question
2070,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[3].question
2078,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[5].question
2078,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_COMMENTS,0,overallAssessment.unknownComments
2078,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].value
2078,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS_SOFT_EDIT_CHECKS,OVL_OVERRIDE_COMMENTS,0,overallAssessmentSoftEditCheckOverride.comments
2078,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_PD_COMMENTS,0,overallAssessment.pdComments
2078,PRIMARY_IRECIST,FDG_PET,PET_ASSESSMENT_COMMENTS,0,petAssessment.comments
2078,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[1].question
2078,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[3].question
2078,PRIMARY_IRECIST,RECIST11_NON_TARGET_ASSESSMENT_SOFT_EDIT_CHECKS,NT_OVERRIDE_COMMENTS,0,overallNonMeasuredAssessmentSoftEditCheckOverride.comments
2078,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_ND_COMMENTS,0,overallAssessment.noDiseaseComments
4654,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,ACBSD,0,calculations.actualChangeFromBaseline
4654,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,LESION_COMMENTS,0,nonMeasuredLesions[0].comments
4654,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[1].value
4654,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,CORRESPONDING_IMAGE_RECID,0,nonMeasuredLesions[0].imageRecId
4654,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,SUMDIAM,0,calculations.sum
4654,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,PCNSD,0,calculations.percentageChangeFromNadir
4654,PRIMARY_IRECIST,TIMEPOINT_COMMENTS,TIMEPOINT_COMMENTS,0,generalComments
4654,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SLICE_NO,0,measuredNonNodalLesions[0].overlay.sliceNumber
4654,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[2].question
4654,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,LESION_COMMENTS,0,measuredNodalLesions[0].comments
4654,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_COMMENTS,0,measuredNonNodalLesions[0].comments
4654,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TRGRESP,0,overallMeasuredLesionAssessment.value
4654,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,REASON_NOT_MEASURED,0,measuredNonNodalLesions[0].reasonNoOverlay
4654,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,OVERLAY_IMAGE_RECID,0,nonMeasuredLesions[0].overlay.imageRecID
4654,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,CORRESPONDING_IMAGE_SERIES,0,measuredNodalLesions[0].imageName
4654,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,SUMNLNLD,0,calculations.sumNonNodalDiameters
4654,PRIMARY_IRECIST,IRECIST_NEW_LESION_NON_TARGET_ASSESSMENT,IRECIST_NEW_NTRGRESP,0,overallNonMeasuredLesionAssessment.value
4654,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,OVERLAY_IMAGE_SLICE_NO,0,nonMeasuredLesions[0].overlay.sliceNumber
4654,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TARGET_ASSESSMENT_COMMENTS,0,overallMeasuredLesionAssessment.comments
4654,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SERIES,0,measuredNodalLesions[0].overlay.imageTitle
4654,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_FLAG,0,imageQualityAssessments.imageQualityAssessmentList[0].hasIssues
4654,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,ACNSD,0,calculations.actualChangeFromNadir
4654,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,REASON_NOT_EVALUABLE_COMMENT,0,nonMeasuredLesions[0].unknownComments
4654,PRIMARY_IRECIST,RECIST11_BASELINE_DISEASE_STATUS,NO_BASELINE_DISESE_FLAG,0,baselineDiseaseStatus
4665,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_REASONS_VALUE,0,overallAssessment.reasonsForUnknown[4].value
4665,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SERIES,0,measuredNonNodalLesions[0].overlay.imageTitle
4665,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_PD_REASONS_QUESTION,0,overallAssessment.reasonsForPD[2].question
4665,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_REASONS_QUESTION,0,overallAssessment.reasonsForUnknown[4].question
4665,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].question
4665,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_REASONS_VALUE,0,overallAssessment.reasonsForUnknown[2].value
4665,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,REASON_NOT_EVALUABLE_COMMENT,0,measuredNonNodalLesions[0].unknownComments
4665,PRIMARY_IRECIST,RECIST11_OVERALL_ASSESSMENTS,OVL_NE_REASONS_VALUE,0,overallAssessment.reasonsForUnknown[5].value
72,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,LESION_ID,0,measuredNodalLesions[0].name
72,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,OVERLAY_IMAGE_SERIES,0,nonMeasuredLesions[0].overlay.imageTitle
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,MEASUREMENT_UNITS,0,measuredNonNodalLesions[0].overlay.units
72,PRIMARY_IRECIST,RECIST11_TARGET_ASSESSMENTS,TARGET_NE_COMMENTS,0,overallMeasuredLesionAssessment.unknownComments
72,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[3].value
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,OVERLAY_IMAGE_SLICE_NO,1,measuredNonNodalLesions[1].overlay.sliceNumber
72,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,PCBSD,0,calculations.percentageChangeFromBaseline
72,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,REASON_NOT_EVALUABLE_COMMENT,0,measuredNodalLesions[0].unknownComments
72,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[0].value
72,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,LESION_LOCATION_DESCRIPTION,0,nonMeasuredLesions[0].locationDescription
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_LOCATION,0,measuredNonNodalLesions[0].location
72,PRIMARY_IRECIST,RECIST11_NON_TARGET_LESIONS,LESION_ID,0,nonMeasuredLesions[0].name
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,REASON_NOT_EVALUABLE_COMMENT,1,measuredNonNodalLesions[1].unknownComments
72,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_VALUE,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[4].value
72,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,LESION_LOCATION_DESCRIPTION,0,measuredNodalLesions[0].locationDescription
72,PRIMARY_IRECIST,IRECIST_NEW_LESION_NON_TARGET_ASSESSMENT,IRECIST_NEW_NT_ASSESSMENT_COMMENTS,0,overallNonMeasuredLesionAssessment.comments
72,PRIMARY_IRECIST,RECIST11_NODAL_TARGET_LESIONS,LESION_LOCATION,0,measuredNodalLesions[0].location
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LDIAM,1,measuredNonNodalLesions[1].overlay.length
72,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[1].question
72,PRIMARY_IRECIST,IMAGE_QUALITY,IMAGE_QUALITY_ISSUES_QUESTION,0,imageQualityAssessments.imageQualityAssessmentList[0].issues[3].question
72,PRIMARY_IRECIST,RECIST11_LESION_CALCULATIONS,ACBSD,0,calculations.actualChangeFromBaseline
72,PRIMARY_IRECIST,RECIST11_NON_NODAL_TARGET_LESIONS,LESION_COMMENTS,1,measuredNonNodalLesions[1].comments
